ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,isocode,Glottolog_Name
Ab,Ab,,-8.31058,124.588,abui1241,,abz,Abui
Ad,Ad,,-8.18958,124.448,adan1251,,adn,Adang
Bl,Bl,,-8.31787,124.251,blag1240,,beu,Blagar
Ke,Ke,,-8.3287,124.0177,kaer1234,,jka,Kaera
Km,Km,,-8.26897,124.792,kama1365,,woi,Kamang
Kl,Kl,,-8.40688,124.429,kelo1247,,kyo,Klon
Ki,Ki,,-8.38204,124.791,kuii1253,,kvd,Kui (Indonesia)
Nd,Nd,,-8.28776,124.192,nede1245,,nec,Nedebang
Sw,Sw,,-8.29105,125.078,sawi1256,,swt,Sawila
Tw,Tw,,-8.37662,124.174,teiw1235,,twe,Teiwa
We,We,,-8.33936,124.932,wers1238,,kvw,Wersing
WP,WP,,-8.52787,124.057,lamm1241,,lev,Western Pantar
pAP,pAP,,,,alor1249,,,Alor-Pantar
